{'sa': 396, 'k': 0.04742108, 'nc': 412, 'it': 0, 'n': 100}
{'sa': 818, 'k': 0.04742108, 'nc': 790, 'it': 0, 'n': 200}
{'sa': 1234, 'k': 0.04742108, 'nc': 1174, 'it': 0, 'n': 300}
{'sa': 1644, 'k': 0.04742108, 'nc': 1564, 'it': 0, 'n': 400}
{'sa': 2040, 'k': 0.04742108, 'nc': 1968, 'it': 0, 'n': 500}
{'sa': 2400, 'k': 0.04742108, 'nc': 2408, 'it': 0, 'n': 600}
{'sa': 2764, 'k': 0.04742108, 'nc': 2844, 'it': 0, 'n': 700}
{'sa': 3190, 'k': 0.04742108, 'nc': 3218, 'it': 0, 'n': 800}
{'sa': 3624, 'k': 0.04742108, 'nc': 3584, 'it': 0, 'n': 900}
{'sa': 4062, 'k': 0.04742108, 'nc': 3946, 'it': 0, 'n': 1000}
{'sa': 4470, 'k': 0.04742108, 'nc': 4338, 'it': 0, 'n': 1100}
{'sa': 4868, 'k': 0.04742108, 'nc': 4740, 'it': 0, 'n': 1200}
{'sa': 5320, 'k': 0.04742108, 'nc': 5088, 'it': 0, 'n': 1300}
{'sa': 5724, 'k': 0.04742108, 'nc': 5484, 'it': 0, 'n': 1400}
{'sa': 6140, 'k': 0.04742108, 'nc': 5868, 'it': 0, 'n': 1500}
{'sa': 6538, 'k': 0.04742108, 'nc': 6270, 'it': 0, 'n': 1600}
{'sa': 7002, 'k': 0.04742108, 'nc': 6606, 'it': 0, 'n': 1700}
{'sa': 7450, 'k': 0.04742108, 'nc': 6958, 'it': 0, 'n': 1800}
{'sa': 7870, 'k': 0.04742108, 'nc': 7338, 'it': 0, 'n': 1900}
{'sa': 8290, 'k': 0.04742108, 'nc': 7718, 'it': 0, 'n': 2000}
{'sa': 8712, 'k': 0.04742108, 'nc': 8096, 'it': 0, 'n': 2100}
{'sa': 9122, 'k': 0.04742108, 'nc': 8486, 'it': 0, 'n': 2200}
{'sa': 9512, 'k': 0.04742108, 'nc': 8896, 'it': 0, 'n': 2300}
{'sa': 9938, 'k': 0.04742108, 'nc': 9270, 'it': 0, 'n': 2400}
{'sa': 10314, 'k': 0.04742108, 'nc': 9694, 'it': 0, 'n': 2500}
{'sa': 10706, 'k': 0.04742108, 'nc': 10102, 'it': 0, 'n': 2600}
{'sa': 11130, 'k': 0.04742108, 'nc': 10478, 'it': 0, 'n': 2700}
{'sa': 11532, 'k': 0.04742108, 'nc': 10876, 'it': 0, 'n': 2800}
{'sa': 11932, 'k': 0.04742108, 'nc': 11276, 'it': 0, 'n': 2900}
{'sa': 12358, 'k': 0.04742108, 'nc': 11650, 'it': 0, 'n': 3000}
{'sa': 12762, 'k': 0.04742108, 'nc': 12046, 'it': 0, 'n': 3100}
{'sa': 13138, 'k': 0.04742108, 'nc': 12470, 'it': 0, 'n': 3200}
{'sa': 13610, 'k': 0.04742108, 'nc': 12798, 'it': 0, 'n': 3300}
{'sa': 14000, 'k': 0.04742108, 'nc': 13208, 'it': 0, 'n': 3400}
{'sa': 14418, 'k': 0.04742108, 'nc': 13590, 'it': 0, 'n': 3500}
{'sa': 14868, 'k': 0.04742108, 'nc': 13940, 'it': 0, 'n': 3600}
{'sa': 15290, 'k': 0.04742108, 'nc': 14318, 'it': 0, 'n': 3700}
{'sa': 15718, 'k': 0.04742108, 'nc': 14690, 'it': 0, 'n': 3800}
{'sa': 16148, 'k': 0.04742108, 'nc': 15060, 'it': 0, 'n': 3900}
{'sa': 16494, 'k': 0.04742108, 'nc': 15514, 'it': 0, 'n': 4000}
